FSC.H,SSC.H,FL1.H,FL2.H,FL3.H,FL1.A,FL1.W,Time
309,376,264,198,313,0,0,2
83,55,139,51,146,0,0,2
184,198,232,83,124,0,0,2
169,75,696,22,193,121,26,2
212,98,166,0,221,0,0,2
164,143,108,160,117,0,0,2
525,628,581,250,50,39,0,2
80,41,84,0,190,0,0,2
369,306,405,106,199,2,0,2
152,129,113,83,54,0,0,2
62,344,135,100,14,0,0,2
282,212,187,26,173,0,0,2
96,118,65,46,14,0,0,2
286,140,230,116,195,0,0,2
903,838,936,405,1023,1023,324,2
309,326,248,143,270,0,0,4
157,139,209,115,147,0,0,4
138,98,97,0,45,0,0,4
278,378,248,210,100,0,0,4
165,1023,4,0,11,0,0,4
465,610,323,289,168,0,0,4
113,51,104,36,195,0,0,4
198,163,211,51,190,0,0,4
251,273,196,142,94,0,0,4
224,179,212,138,131,0,0,4
327,318,252,127,228,0,0,4
269,253,237,126,296,0,0,4
455,438,248,244,166,0,0,4
213,162,136,42,100,0,0,4
116,147,196,116,147,0,0,4
312,160,244,84,369,0,0,6
193,187,188,157,109,0,0,6
237,122,151,0,343,0,0,6
139,73,125,0,165,0,0,6
74,45,105,0,146,0,0,6
123,105,122,36,90,0,0,6
1023,832,955,286,1023,1023,213,6
72,86,345,0,104,0,0,6
236,560,132,106,21,0,0,6
107,44,145,0,201,0,0,6
351,311,650,118,275,81,15,6
257,250,242,104,257,0,0,6
515,310,600,47,355,46,0,6
222,158,189,60,121,0,0,6
301,381,231,100,301,0,0,6
75,114,151,66,71,0,0,9
310,235,840,277,449,453,58,9
226,183,209,129,161,0,0,9
264,117,732,161,371,166,31,9
82,53,149,77,138,0,0,9
158,33,61,53,4,0,0,9
506,196,847,225,511,487,73,9
532,448,863,303,1021,660,227,9
257,141,194,101,192,0,0,9
89,239,157,103,24,0,0,9
187,81,213,83,173,0,0,9
221,66,705,166,242,131,25,9
212,138,108,0,209,0,0,9
272,224,239,157,256,0,0,9
217,126,213,116,201,0,0,9
361,274,285,150,321,0,0,14
783,705,371,246,674,2,0,14
202,160,171,29,182,0,0,14
216,224,240,178,67,0,0,14
283,235,261,147,311,0,0,14
252,177,200,70,172,0,0,14
285,144,747,218,233,189,38,14
220,123,55,23,191,0,0,14
123,179,126,103,17,0,0,14
166,103,756,113,219,202,39,14
140,249,235,156,147,0,0,14
200,140,126,0,194,0,0,14
59,75,164,0,124,0,0,14
313,422,287,223,149,0,0,14
249,150,218,111,201,0,0,14
259,293,237,206,166,0,0,18
183,122,763,154,230,220,60,18
220,253,241,94,246,0,0,18
249,224,196,76,222,0,0,18
249,268,218,176,99,0,0,18
199,74,702,153,219,127,23,18
297,380,284,145,296,0,0,18
490,511,322,235,466,0,0,18
289,173,258,92,350,0,0,18
215,233,207,176,117,0,0,18
788,594,852,202,923,572,420,18
231,155,567,0,326,35,0,18
145,104,156,0,178,0,0,18
201,104,263,81,318,0,0,18
422,448,296,225,203,0,0,18
61,100,626,0,95,76,3,22
335,276,206,76,165,0,0,22
311,157,257,97,362,0,0,22
197,165,184,0,208,0,0,22
153,105,137,29,166,0,0,22
245,214,225,52,261,0,0,22
180,183,283,190,238,0,0,22
253,107,720,142,225,149,30,22
239,291,249,70,246,0,0,22
242,177,226,106,256,0,0,22
79,113,782,207,248,266,70,22
453,652,335,246,347,0,0,22
365,291,547,110,332,28,0,22
69,105,152,121,3,0,0,22
445,183,841,212,511,457,63,22
270,279,242,164,206,0,0,28
557,360,409,385,133,5,0,28
715,468,841,277,466,466,100,28
145,57,140,0,190,0,0,28
221,178,169,100,117,0,0,28
302,131,667,139,215,92,11,28
917,924,872,300,884,647,129,28
392,436,251,59,351,0,0,28
194,106,458,78,346,8,0,28
70,38,160,0,133,0,0,28
214,111,215,38,196,0,0,28
84,62,238,194,33,0,0,28
1023,1023,899,202,1023,959,337,28
203,283,324,134,24,0,0,28
309,137,710,220,218,137,29,28
1023,1023,974,444,1023,1023,266,35
329,269,264,198,181,0,0,35
